transaction_i_d,customer_i_d,product_segment,region_assignment,sales_channel,units_demanded,unit_price_u_s_d,discount_decimal,tax_rate,shipping_fee,order_open_date,order_close_date,customer_age,lead_source,priority_status,warehouse_code,return_requested,manager_review
TXN-10381,CUST-1040,Wireless Headphones,South,Online,2.0,851.25,0.25,0.08,23.87,2025-12-13,2025-12-26,41,Referral,Low,WH-4,True,Pending
TXN-10382,CUST-1072,Tablet Ultra,East,Online,4.0,773.28,0.3,0.08,27.14,2025-10-13,2025-10-26,40,Web Search,Low,WH-5,True,Approved
TXN-10383,CUST-1373,Smart Watch V2,West,Online,8.0,1059.09,0.09,0.08,27.81,2025-01-08,2025-01-12,71,Email Campaign,High,WH-2,False,Rejected
TXN-10384,CUST-1374,Wireless Headphones,North,Online,4.0,895.33,0.29,0.08,13.4,2025-08-21,2025-08-30,69,Web Search,Medium,WH-2,True,Approved
TXN-10385,CUST-1269,Premium Laptop,East,Retail,2.0,974.0,0.12,0.08,34.69,2025-10-27,2025-11-08,59,Email Campaign,Urgent,WH-4,False,Rejected
TXN-10386,CUST-1439,Premium Laptop,North,Wholesale,3.0,374.34,0.12,0.08,6.01,2025-02-25,2025-03-13,28,Web Search,Medium,WH-2,False,Pending
TXN-10387,CUST-1384,Wireless Headphones,North,Retail,10.0,254.06,0.1,0.08,19.19,2025-01-13,2025-01-31,54,Referral,Medium,WH-5,True,Rejected
TXN-10388,CUST-1398,Smart Watch V2,South,Online,8.0,913.21,0.16,0.08,36.21,2025-06-17,2025-06-25,26,Social Media,Medium,WH-5,True,Pending
TXN-10389,CUST-1143,Wireless Headphones,North,Wholesale,3.0,977.86,0.05,0.08,27.56,2025-11-28,2025-12-13,55,Email Campaign,Medium,WH-2,True,Pending
TXN-10390,CUST-1238,Smart Watch V2,South,Online,8.0,1189.08,0.17,0.08,15.45,2025-12-25,2026-01-08,19,Email Campaign,Medium,WH-4,False,Rejected
TXN-10391,CUST-1264,Wireless Headphones,North,Retail,5.0,524.51,0.16,0.08,32.8,2025-03-01,2025-03-03,32,Web Search,Low,WH-5,True,Approved
TXN-10392,CUST-1040,Smartphone X,South,Online,2.0,477.82,0.23,0.08,27.7,2025-06-05,2025-06-09,25,Social Media,High,WH-5,True,Pending
TXN-10393,CUST-1267,Premium Laptop,East,Wholesale,5.0,942.87,0.25,0.08,36.85,2025-02-19,2025-03-09,30,Web Search,High,WH-2,False,Pending
TXN-10394,CUST-1455,Smartphone X,West,Online,2.0,441.92,0.13,0.08,34.4,2025-03-11,2025-03-23,40,Email Campaign,Medium,WH-2,True,Rejected
TXN-10395,CUST-1312,Wireless Headphones,South,Online,3.0,1120.37,0.09,0.08,29.4,2025-12-10,2025-12-28,52,Social Media,Medium,WH-3,True,Approved
TXN-10396,CUST-1045,Smartphone X,North,Wholesale,3.0,1037.17,0.08,0.08,24.53,2025-08-03,2025-08-08,37,Referral,Low,WH-5,False,Rejected
TXN-10397,CUST-1125,Smart Watch V2,East,Retail,8.0,543.34,0.06,0.08,10.33,2025-08-01,2025-08-17,26,Web Search,Urgent,WH-4,False,Pending
TXN-10398,CUST-1241,Wireless Headphones,North,Online,3.0,913.5,0.02,0.08,15.45,2025-11-12,2025-11-21,19,Web Search,Medium,WH-3,True,Approved
TXN-10399,CUST-1322,Smart Watch V2,North,Online,6.0,917.72,0.1,0.08,21.76,2025-01-17,2025-01-24,22,Web Search,Low,WH-5,True,Rejected
TXN-10400,CUST-1379,Smartphone X,North,Online,9.0,168.59,0.08,0.08,28.97,2025-08-16,2025-08-24,67,Social Media,Urgent,WH-4,True,Rejected
TXN-10401,CUST-1339,Smartphone X,South,Retail,8.0,1087.94,0.29,0.08,25.55,2025-07-05,2025-07-17,27,Social Media,Medium,WH-1,False,Pending
TXN-10402,CUST-1491,Wireless Headphones,West,Online,9.0,631.04,0.17,0.08,16.53,2025-10-06,2025-10-18,21,Web Search,Medium,WH-2,True,Rejected
TXN-10403,CUST-1342,Smart Watch V2,North,Wholesale,4.0,1000.43,0.1,0.08,5.26,2025-02-01,2025-02-08,41,Web Search,Urgent,WH-3,True,Approved
TXN-10404,CUST-1039,Smartphone X,West,Online,4.0,418.06,0.17,0.08,24.85,2025-03-04,2025-03-19,48,Social Media,Medium,WH-1,True,Rejected
TXN-10405,CUST-1350,Wireless Headphones,North,Online,8.0,1079.85,0.04,0.08,16.43,2025-02-16,2025-03-08,49,Referral,Medium,WH-4,True,Pending
TXN-10406,CUST-1324,Smartphone X,South,Wholesale,7.0,497.58,0.13,0.08,34.38,2025-01-11,2025-01-22,28,Web Search,Low,WH-4,True,Rejected
TXN-10407,CUST-1276,Wireless Headphones,East,Online,5.0,62.46,0.19,0.08,5.96,2025-05-05,2025-05-24,21,Web Search,Medium,WH-3,False,Approved
TXN-10408,CUST-1408,Premium Laptop,East,Online,8.0,1091.19,0.15,0.08,28.39,2025-04-16,2025-05-04,64,Social Media,High,WH-4,True,Rejected
TXN-10409,CUST-1296,Smartphone X,North,Online,10.0,154.98,0.12,0.08,42.66,2025-04-17,2025-04-25,45,Social Media,High,WH-5,False,Pending
TXN-10410,CUST-1159,Smart Watch V2,West,Retail,9.0,417.21,0.3,0.08,11.98,2025-06-18,2025-07-08,55,Web Search,Medium,WH-5,False,Approved
TXN-10411,CUST-1313,Wireless Headphones,South,Online,6.0,1142.57,0.26,0.08,23.87,2025-01-02,2025-01-07,28,Web Search,Medium,WH-4,True,Pending
TXN-10412,CUST-1027,Wireless Headphones,South,Online,10.0,1143.2,0.19,0.08,8.66,2025-03-08,2025-03-14,73,Social Media,Medium,WH-5,True,Rejected
TXN-10413,CUST-1462,Smart Watch V2,North,Retail,9.0,709.45,0.17,0.08,30.03,2025-02-26,2025-02-27,59,Referral,Low,WH-2,False,Pending
TXN-10414,CUST-1175,Wireless Headphones,South,Online,9.0,776.61,0.19,0.08,27.02,2025-03-09,2025-03-17,24,Web Search,High,WH-2,False,Approved
TXN-10415,CUST-1273,Wireless Headphones,South,Online,5.0,565.71,0.06,0.08,21.29,2025-10-29,2025-11-04,34,Web Search,Low,WH-3,False,Approved
TXN-10416,CUST-1398,Wireless Headphones,North,Retail,8.0,387.19,0.12,0.08,25.86,2025-05-16,2025-05-30,28,Referral,Medium,WH-3,False,Rejected
TXN-10417,CUST-1005,Wireless Headphones,East,Online,5.0,427.96,0.01,0.08,40.86,2025-09-27,2025-09-30,61,Web Search,Medium,WH-4,False,Approved
TXN-10418,CUST-1240,Smart Watch V2,South,Wholesale,7.0,823.4,0.14,0.08,12.85,2025-09-01,2025-09-13,18,Web Search,Medium,WH-1,False,Approved
TXN-10419,CUST-1232,Smartphone X,South,Wholesale,7.0,915.23,0.16,0.08,5.9,2025-09-20,2025-10-05,63,Social Media,Medium,WH-4,False,Approved
TXN-10420,CUST-1262,Wireless Headphones,South,Retail,1.0,960.32,0.07,0.08,39.47,2025-09-15,2025-10-05,20,Web Search,High,WH-4,True,Approved
TXN-10421,CUST-1463,Smart Watch V2,South,Retail,6.0,958.06,0.29,0.08,28.08,2025-01-23,2025-02-09,25,Web Search,High,WH-2,True,Pending
TXN-10422,CUST-1240,Smartphone X,West,Online,10.0,154.89,0.27,0.08,40.63,2025-06-04,2025-06-05,28,Email Campaign,Medium,WH-1,True,Rejected
TXN-10423,CUST-1293,Smart Watch V2,North,Online,8.0,618.58,0.22,0.08,28.88,2025-02-01,2025-02-14,43,Social Media,Urgent,WH-2,True,Rejected
TXN-10424,CUST-1375,Premium Laptop,West,Retail,5.0,116.19,0.16,0.08,37.41,2025-08-07,2025-08-23,54,Referral,Urgent,WH-2,True,Pending
TXN-10425,CUST-1169,Tablet Ultra,East,Wholesale,1.0,681.96,0.26,0.08,22.19,2025-12-31,2026-01-03,58,Web Search,Medium,WH-1,False,Rejected
TXN-10426,CUST-1215,Smartphone X,South,Wholesale,1.0,557.76,0.04,0.08,34.99,2025-02-11,2025-02-16,45,Referral,Urgent,WH-3,True,Pending
TXN-10427,CUST-1180,Premium Laptop,South,Online,2.0,1070.86,0.24,0.08,41.52,2025-02-03,2025-02-23,37,Social Media,High,WH-3,True,Approved
TXN-10428,CUST-1491,Tablet Ultra,East,Wholesale,10.0,453.55,0.04,0.08,27.88,2025-11-21,2025-12-02,41,Web Search,Medium,WH-3,True,Rejected
TXN-10429,CUST-1500,Smartphone X,South,Online,10.0,184.63,0.24,0.08,12.23,2025-07-15,2025-08-01,61,Email Campaign,Urgent,WH-1,False,Rejected
TXN-10430,CUST-1408,Premium Laptop,North,Online,6.0,214.44,0.08,0.08,15.75,2025-05-31,2025-06-20,40,Web Search,Urgent,WH-3,False,Approved
TXN-10431,CUST-1150,Smart Watch V2,West,Online,9.0,925.74,0.26,0.08,12.95,2025-08-09,2025-08-13,45,Referral,High,WH-4,True,Approved
TXN-10432,CUST-1148,Wireless Headphones,West,Online,5.0,760.95,0.28,0.08,14.87,2025-12-02,2025-12-20,33,Social Media,Low,WH-1,True,Pending
TXN-10433,CUST-1085,Smartphone X,West,Online,6.0,166.29,0.04,0.08,17.26,2025-04-21,2025-04-29,71,Email Campaign,Low,WH-3,True,Rejected
TXN-10434,CUST-1018,Smart Watch V2,South,Wholesale,1.0,146.72,0.14,0.08,27.21,2025-07-31,2025-08-15,71,Web Search,High,WH-2,True,Rejected
TXN-10435,CUST-1355,Smart Watch V2,South,Online,7.0,856.11,0.29,0.08,28.52,2025-07-24,2025-07-28,47,Email Campaign,Medium,WH-1,False,Pending
TXN-10436,CUST-1472,Smartphone X,South,Wholesale,9.0,133.68,0.15,0.08,22.06,2025-06-10,2025-06-19,25,Social Media,Low,WH-5,True,Approved
TXN-10437,CUST-1305,Smart Watch V2,North,Online,9.0,995.14,0.26,0.08,29.62,2025-07-11,2025-07-27,21,Web Search,Urgent,WH-4,True,Rejected
TXN-10438,CUST-1383,Premium Laptop,West,Online,1.0,862.18,0.18,0.08,8.26,2025-02-04,2025-02-07,69,Referral,Medium,WH-5,False,Pending
TXN-10439,CUST-1155,Smart Watch V2,West,Retail,2.0,143.55,0.11,0.08,8.51,2025-02-17,2025-03-01,25,Email Campaign,Medium,WH-5,True,Pending
TXN-10440,CUST-1372,Wireless Headphones,East,Wholesale,3.0,147.56,0.09,0.08,11.87,2025-03-08,2025-03-27,28,Referral,High,WH-2,True,Pending
TXN-10441,CUST-1401,Smart Watch V2,North,Online,6.0,1184.64,0.06,0.08,25.72,2025-10-15,2025-10-19,65,Email Campaign,Urgent,WH-5,False,Rejected
TXN-10442,CUST-1288,Smart Watch V2,East,Online,4.0,480.41,0.23,0.08,13.56,2025-07-30,2025-08-13,53,Social Media,Low,WH-3,True,Pending
TXN-10443,CUST-1133,Smart Watch V2,West,Wholesale,10.0,476.24,0.12,0.08,16.33,2025-01-27,2025-02-16,46,Email Campaign,High,WH-3,True,Pending
TXN-10444,CUST-1031,Smartphone X,East,Online,1.0,1820.19,0.15,0.08,-15.618750000000006,2025-06-09,2025-06-28,66,Social Media,High,WH-3,False,Approved
TXN-10445,CUST-1322,Smartphone X,North,Online,5.0,1139.34,0.15,0.08,37.47,2025-09-17,2025-10-03,49,Referral,Medium,WH-1,True,Approved
TXN-10446,CUST-1242,Smartphone X,South,Retail,2.0,1183.9,0.17,0.08,5.55,2025-04-25,2025-05-07,51,Web Search,Medium,WH-3,False,Pending
TXN-10447,CUST-1296,Wireless Headphones,South,Retail,1.0,916.38,0.26,0.08,30.98,2025-10-12,2025-10-21,18,Web Search,High,WH-3,True,Pending
TXN-10448,CUST-1086,Smartphone X,West,Retail,6.0,482.7,0.29,0.08,31.76,2025-10-21,2025-11-04,69,Web Search,High,WH-5,True,Pending
TXN-10449,CUST-1293,Tablet Ultra,South,Retail,7.0,146.03,0.12,0.08,36.95,2025-10-15,2025-11-04,41,Web Search,High,WH-5,True,Approved
TXN-10450,CUST-1026,Wireless Headphones,East,Retail,6.0,943.72,0.25,0.08,42.31,2025-11-11,2025-11-29,27,Web Search,Medium,WH-2,True,Approved
TXN-10451,CUST-1336,Smartphone X,South,Online,7.0,692.16,0.23,0.08,5.81,2025-01-14,2025-01-23,73,Web Search,Medium,WH-1,True,Approved
TXN-10452,CUST-1149,Smartphone X,West,Online,5.0,537.86,0.17,0.08,11.15,2025-01-15,2025-01-25,39,Email Campaign,Medium,WH-1,True,Rejected
TXN-10453,CUST-1414,Wireless Headphones,East,Retail,10.0,1092.31,0.29,0.08,40.45,2025-06-23,2025-06-29,47,Referral,Low,WH-3,True,Pending
TXN-10454,CUST-1377,Tablet Ultra,North,Retail,7.0,177.88,0.06,0.08,23.34,2025-03-15,2025-03-28,50,Referral,Medium,WH-1,True,Approved
TXN-10455,CUST-1319,Premium Laptop,East,Wholesale,5.0,616.52,0.03,0.08,27.58,2025-02-05,2025-02-06,46,Social Media,Medium,WH-3,False,Pending
TXN-10456,CUST-1013,Smartphone X,North,Retail,5.0,63.06,0.26,0.08,31.52,2025-02-16,2025-02-23,21,Email Campaign,Medium,WH-4,True,Pending
TXN-10457,CUST-1146,Smart Watch V2,East,Retail,1.0,588.96,0.13,0.08,32.16,2025-07-12,2025-07-23,32,Email Campaign,Medium,WH-1,True,Rejected
TXN-10458,CUST-1248,Smartphone X,North,Retail,7.0,1820.19,0.25,0.08,-15.618750000000006,2025-03-22,2025-04-02,21,Referral,Medium,WH-1,True,Pending
TXN-10459,CUST-1042,Tablet Ultra,North,Online,4.0,186.64,0.27,0.08,44.88,2025-10-18,2025-10-20,36,Referral,Medium,WH-2,True,Approved
TXN-10460,CUST-1064,Smart Watch V2,North,Online,8.0,185.16,0.02,0.08,33.81,2025-03-21,2025-04-10,51,Web Search,Low,WH-2,False,Rejected
TXN-10461,CUST-1258,Smartphone X,West,Online,1.0,796.59,0.27,0.08,16.49,2025-01-26,2025-02-04,49,Referral,Urgent,WH-3,True,Rejected
TXN-10462,CUST-1039,Wireless Headphones,East,Online,7.0,907.95,0.13,0.08,40.19,2025-08-15,2025-08-31,69,Referral,High,WH-1,False,Pending
TXN-10463,CUST-1435,Premium Laptop,West,Online,5.0,720.87,0.15,0.08,6.97,2025-11-07,2025-11-16,25,Referral,High,WH-2,True,Pending
TXN-10464,CUST-1401,Wireless Headphones,South,Online,4.0,1156.5,0.19,0.08,14.24,2025-04-21,2025-04-25,19,Social Media,Medium,WH-4,False,Rejected
TXN-10465,CUST-1142,Smartphone X,East,Wholesale,2.0,481.1,0.28,0.08,40.9,2025-06-26,2025-07-06,28,Web Search,Medium,WH-5,False,Rejected
TXN-10466,CUST-1129,Smart Watch V2,West,Wholesale,8.0,378.57,0.01,0.08,15.25,2025-12-14,2025-12-30,52,Referral,Urgent,WH-4,True,Pending
TXN-10467,CUST-1067,Wireless Headphones,East,Retail,9.0,1048.89,0.14,0.08,13.83,2025-09-27,2025-09-29,61,Web Search,High,WH-1,True,Rejected
TXN-10468,CUST-1315,Smartphone X,East,Online,5.0,307.14,0.21,0.08,10.53,2025-04-23,2025-05-13,45,Web Search,High,WH-3,False,Rejected
TXN-10469,CUST-1143,Wireless Headphones,East,Online,7.0,1157.71,0.22,0.08,39.36,2025-01-24,2025-01-29,56,Email Campaign,Urgent,WH-4,True,Rejected
TXN-10470,CUST-1140,Smartphone X,North,Online,5.0,63.98,0.21,0.08,25.0,2025-04-19,2025-04-28,19,Social Media,High,WH-5,True,Approved
TXN-10471,CUST-1439,Premium Laptop,West,Retail,10.0,1165.36,0.04,0.08,32.0,2025-05-29,2025-05-30,53,Social Media,Medium,WH-5,False,Approved
TXN-10472,CUST-1131,Smartphone X,East,Retail,2.0,99.63,0.09,0.08,14.56,2025-09-12,2025-09-18,28,Referral,Medium,WH-1,False,Approved
TXN-10473,CUST-1007,Smart Watch V2,North,Wholesale,4.0,1074.81,0.11,0.08,35.32,2025-03-08,2025-03-16,69,Social Media,Urgent,WH-1,True,Rejected
TXN-10474,CUST-1379,Smart Watch V2,East,Retail,9.0,656.86,0.24,0.08,35.4,2025-09-14,2025-09-26,30,Web Search,Urgent,WH-5,True,Approved
TXN-10475,CUST-1057,Smart Watch V2,West,Retail,4.0,1191.91,0.08,0.08,17.5,2025-02-06,2025-02-08,28,Web Search,High,WH-4,True,Rejected
TXN-10476,CUST-1309,Wireless Headphones,North,Retail,1.0,134.87,0.06,0.08,21.43,2025-08-12,2025-08-15,46,Web Search,Low,WH-4,True,Approved
TXN-10477,CUST-1089,Premium Laptop,West,Retail,2.0,686.93,0.29,0.08,13.39,2025-06-10,2025-06-29,71,Email Campaign,Urgent,WH-5,False,Approved
TXN-10478,CUST-1465,Wireless Headphones,North,Online,1.0,1164.7,0.0,0.08,44.06,2025-07-27,2025-08-10,43,Referral,Low,WH-4,True,Approved
TXN-10479,CUST-1302,Premium Laptop,North,Online,3.0,651.56,0.3,0.08,30.82,2025-05-29,2025-05-30,27,Referral,Urgent,WH-5,True,Pending
TXN-10480,CUST-1378,Smart Watch V2,West,Retail,2.0,773.81,0.2,0.08,42.38,2025-06-16,2025-07-06,55,Email Campaign,High,WH-1,True,Pending
TXN-10481,CUST-1077,Wireless Headphones,North,Wholesale,10.0,850.11,0.25,0.08,17.14,2025-08-24,2025-09-05,33,Email Campaign,Urgent,WH-2,True,Rejected
TXN-10482,CUST-1337,Smartphone X,North,Retail,3.0,572.72,0.09,0.08,36.28,2025-02-15,2025-02-19,62,Web Search,High,WH-2,True,Pending
TXN-10483,CUST-1228,Tablet Ultra,South,Wholesale,1.0,771.69,0.0,0.08,35.63,2025-05-05,2025-05-18,19,Web Search,Urgent,WH-3,True,Approved
TXN-10484,CUST-1189,Premium Laptop,East,Wholesale,9.0,721.96,0.22,0.08,32.67,2025-09-26,2025-10-06,28,Web Search,Urgent,WH-3,False,Pending
TXN-10485,CUST-1413,Wireless Headphones,West,Online,4.0,1086.33,0.25,0.08,43.63,2025-06-23,2025-06-29,45,Web Search,Medium,WH-3,True,Rejected
TXN-10486,CUST-1089,Wireless Headphones,North,Retail,6.0,102.26,0.22,0.08,20.74,2025-02-09,2025-02-13,39,Web Search,Urgent,WH-4,True,Rejected
TXN-10487,CUST-1133,Premium Laptop,West,Retail,5.0,373.11,0.04,0.08,10.23,2025-09-29,2025-10-11,19,Web Search,Low,WH-5,False,Approved
TXN-10488,CUST-1400,Smartphone X,North,Online,6.0,1142.97,0.23,0.08,31.87,2025-06-29,2025-07-04,68,Web Search,Medium,WH-3,True,Pending
TXN-10489,CUST-1358,Smart Watch V2,North,Retail,5.0,1073.8,0.23,0.08,34.17,2025-05-01,2025-05-10,46,Web Search,Medium,WH-3,True,Approved
TXN-10490,CUST-1120,Smartphone X,East,Online,6.0,574.01,0.2,0.08,28.0,2025-04-12,2025-04-17,60,Web Search,Low,WH-4,True,Approved
TXN-10491,CUST-1248,Smart Watch V2,North,Online,1.0,763.15,0.23,0.08,13.27,2025-12-02,2025-12-18,34,Web Search,High,WH-4,True,Pending
TXN-10492,CUST-1092,Wireless Headphones,East,Online,3.0,368.99,0.25,0.08,25.18,2025-08-26,2025-09-14,28,Web Search,High,WH-5,True,Pending
TXN-10493,CUST-1409,Smartphone X,North,Retail,9.0,266.34,0.18,0.08,17.49,2025-08-18,2025-09-06,52,Web Search,Medium,WH-3,False,Pending
TXN-10494,CUST-1270,Tablet Ultra,North,Online,3.0,583.25,0.03,0.08,22.1,2025-11-26,2025-12-16,53,Email Campaign,Low,WH-1,False,Pending
TXN-10495,CUST-1441,Smart Watch V2,West,Retail,6.0,456.36,0.15,0.08,30.81,2025-06-15,2025-06-26,63,Referral,Medium,WH-2,True,Pending
TXN-10496,CUST-1016,Smartphone X,West,Online,8.0,721.2,0.02,0.08,34.81,2025-03-19,2025-04-04,62,Social Media,Urgent,WH-4,True,Pending
TXN-10497,CUST-1175,Premium Laptop,South,Online,5.0,139.39,0.12,0.08,14.29,2025-08-15,2025-08-24,58,Web Search,Medium,WH-4,True,Pending
TXN-10498,CUST-1043,Tablet Ultra,North,Online,4.0,1170.55,0.12,0.08,21.21,2025-10-30,2025-11-16,54,Web Search,Medium,WH-3,True,Approved
TXN-10499,CUST-1495,Smartphone X,South,Retail,5.0,1184.14,0.02,0.08,15.77,2025-02-07,2025-02-22,28,Web Search,Low,WH-1,True,Rejected
TXN-10500,CUST-1074,Smart Watch V2,South,Wholesale,3.0,852.89,0.1,0.08,12.95,2025-01-20,2025-01-30,63,Social Media,Urgent,WH-1,False,Pending
TXN-10501,CUST-1304,Smart Watch V2,South,Wholesale,6.0,666.51,0.03,0.08,36.34,2025-02-09,2025-02-12,68,Email Campaign,High,WH-4,False,Approved
TXN-10502,CUST-1478,Wireless Headphones,South,Online,2.0,405.96,0.24,0.08,41.37,2025-11-11,2025-11-24,34,Social Media,Urgent,WH-2,False,Pending
TXN-10503,CUST-1420,Smartphone X,North,Retail,9.0,985.86,0.28,0.08,19.81,2025-08-25,2025-08-27,50,Web Search,Urgent,WH-2,True,Approved
TXN-10504,CUST-1078,Smartphone X,East,Online,15.5,837.44,0.02,0.08,35.05,2025-08-19,2025-09-07,28,Web Search,Medium,WH-5,False,Pending
TXN-10505,CUST-1428,Wireless Headphones,East,Online,6.0,237.01,0.29,0.08,40.88,2025-11-30,2025-12-20,56,Web Search,Medium,WH-3,True,Pending
TXN-10506,CUST-1253,Smart Watch V2,North,Retail,3.0,1097.57,0.16,0.08,38.84,2025-09-01,2025-09-03,43,Web Search,High,WH-4,True,Rejected
TXN-10507,CUST-1385,Smart Watch V2,South,Online,4.0,995.92,0.09,0.08,12.31,2025-08-19,2025-08-30,51,Referral,Medium,WH-2,True,Pending
TXN-10508,CUST-1211,Wireless Headphones,North,Wholesale,5.0,1142.27,0.02,0.08,43.25,2026-01-01,2026-01-07,58,Web Search,Medium,WH-4,False,Rejected
TXN-10509,CUST-1394,Smartphone X,North,Online,7.0,884.58,0.15,0.08,20.07,2025-01-21,2025-02-05,22,Email Campaign,Urgent,WH-5,False,Approved
TXN-10510,CUST-1196,Wireless Headphones,South,Online,2.0,755.43,0.24,0.08,18.57,2025-08-13,2025-09-02,55,Email Campaign,High,WH-2,True,Rejected
TXN-10511,CUST-1121,Smartphone X,West,Online,1.0,530.98,0.21,0.08,7.5,2025-03-23,2025-04-02,25,Social Media,High,WH-1,True,Rejected
TXN-10512,CUST-1338,Wireless Headphones,North,Online,2.0,1122.64,0.02,0.08,24.45,2025-07-18,2025-07-29,42,Email Campaign,Medium,WH-3,True,Rejected
TXN-10513,CUST-1225,Tablet Ultra,East,Online,5.0,1045.97,0.02,0.08,9.36,2025-12-14,2025-12-25,65,Referral,Low,WH-5,True,Rejected
TXN-10514,CUST-1371,Smart Watch V2,North,Retail,7.0,102.0,0.12,0.08,14.94,2025-02-03,2025-02-21,44,Email Campaign,Low,WH-4,False,Pending
TXN-10515,CUST-1326,Smart Watch V2,North,Online,10.0,80.32,0.09,0.08,17.68,2025-12-14,2025-12-23,24,Web Search,High,WH-3,False,Pending
TXN-10516,CUST-1085,Smart Watch V2,South,Wholesale,4.0,482.93,0.07,0.08,37.35,2025-12-03,2025-12-23,49,Web Search,Urgent,WH-4,True,Pending
TXN-10517,CUST-1107,Smart Watch V2,East,Online,10.0,982.14,0.08,0.08,40.02,2025-03-18,2025-04-06,21,Email Campaign,Low,WH-2,True,Pending
TXN-10518,CUST-1295,Wireless Headphones,North,Online,8.0,1185.37,0.24,0.08,17.1,2025-12-06,2025-12-18,54,Web Search,Medium,WH-5,True,Pending
TXN-10519,CUST-1375,Smart Watch V2,West,Online,3.0,222.98,0.28,0.08,39.35,2025-06-08,2025-06-21,32,Web Search,Medium,WH-2,True,Rejected
TXN-10520,CUST-1431,Smartphone X,West,Retail,6.0,733.25,0.12,0.08,39.29,2025-03-08,2025-03-11,66,Referral,High,WH-4,False,Pending
TXN-10521,CUST-1176,Smart Watch V2,West,Online,5.0,488.02,0.27,0.08,35.59,2025-06-08,2025-06-19,29,Web Search,Urgent,WH-2,True,Rejected
TXN-10522,CUST-1027,Wireless Headphones,South,Online,3.0,1165.4,0.1,0.08,10.87,2025-03-07,2025-03-24,62,Email Campaign,Low,WH-1,False,Pending
TXN-10523,CUST-1328,Smartphone X,North,Online,7.0,1018.44,0.14,0.08,32.61,2025-02-17,2025-03-03,60,Referral,Low,WH-5,False,Rejected
TXN-10524,CUST-1135,Smart Watch V2,West,Online,3.0,1014.08,0.07,0.08,42.8,2025-09-18,2025-09-30,36,Social Media,Low,WH-4,True,Approved
TXN-10525,CUST-1386,Smart Watch V2,East,Online,1.0,589.0,0.19,0.08,32.3,2025-06-08,2025-06-15,25,Web Search,High,WH-5,True,Pending
TXN-10526,CUST-1419,Smartphone X,East,Online,5.0,527.04,0.29,0.08,18.26,2025-06-24,2025-07-10,46,Email Campaign,Medium,WH-2,False,Rejected
TXN-10527,CUST-1059,Premium Laptop,West,Online,8.0,364.42,0.18,0.08,25.02,2025-04-09,2025-04-14,22,Referral,Urgent,WH-1,False,Rejected
TXN-10528,CUST-1026,Wireless Headphones,West,Retail,9.0,114.83,0.11,0.08,30.83,2025-03-21,2025-03-25,34,Email Campaign,Medium,WH-2,True,Pending
TXN-10529,CUST-1085,Smart Watch V2,East,Retail,7.0,1044.43,0.19,0.08,25.42,2025-09-17,2025-10-04,45,Web Search,Urgent,WH-5,True,Approved
TXN-10530,CUST-1237,Tablet Ultra,South,Retail,6.0,984.84,0.04,0.08,9.8,2025-01-20,2025-02-09,60,Email Campaign,Urgent,WH-1,True,Rejected
TXN-10531,CUST-1204,Smartphone X,East,Online,7.0,1199.68,0.27,0.08,17.48,2025-03-09,2025-03-14,31,Web Search,Urgent,WH-3,False,Pending
TXN-10532,CUST-1243,Smart Watch V2,West,Online,7.0,1196.13,0.15,0.08,37.1,2025-03-25,2025-04-14,50,Social Media,Medium,WH-5,True,Approved
TXN-10533,CUST-1154,Smartphone X,South,Retail,8.0,688.75,0.13,0.08,39.46,2025-03-26,2025-03-28,75,Web Search,Low,WH-3,False,Pending
TXN-10534,CUST-1243,Wireless Headphones,West,Online,7.0,934.34,0.18,0.08,10.49,2025-07-30,2025-08-07,28,Web Search,Urgent,WH-3,False,Rejected
TXN-10535,CUST-1382,Smart Watch V2,East,Retail,6.0,1136.48,0.19,0.08,43.1,2025-08-16,2025-08-31,44,Web Search,Urgent,WH-2,True,Pending
TXN-10536,CUST-1485,Smart Watch V2,West,Retail,7.0,1027.09,0.02,0.08,18.15,2025-04-30,2025-05-10,28,Web Search,High,WH-2,True,Pending
TXN-10537,CUST-1385,Smartphone X,East,Wholesale,9.0,334.45,0.2,0.08,31.49,2025-08-29,2025-09-05,60,Social Media,Urgent,WH-2,True,Approved
TXN-10538,CUST-1472,Smart Watch V2,East,Wholesale,4.0,568.13,0.07,0.08,35.07,2025-07-08,2025-07-27,28,Social Media,Medium,WH-2,True,Approved
TXN-10539,CUST-1272,Wireless Headphones,West,Online,10.0,198.53,0.21,0.08,37.48,2025-08-14,2025-08-24,75,Web Search,Low,WH-3,True,Pending
TXN-10540,CUST-1119,Smartphone X,West,Retail,10.0,1147.16,0.25,0.08,42.83,2025-07-15,2025-07-29,69,Referral,Medium,WH-1,True,Pending
TXN-10541,CUST-1194,Smartphone X,East,Online,8.0,747.1,0.24,0.08,17.52,2025-03-24,2025-04-13,41,Web Search,Low,WH-4,False,Pending
TXN-10542,CUST-1349,Wireless Headphones,North,Online,7.0,312.94,0.17,0.08,39.34,2025-03-12,2025-03-14,66,Referral,Medium,WH-3,True,Pending
TXN-10543,CUST-1361,Tablet Ultra,North,Wholesale,5.0,822.46,0.16,0.08,10.27,2025-11-25,2025-12-07,50,Web Search,Medium,WH-1,True,Rejected
TXN-10544,CUST-1199,Smart Watch V2,North,Wholesale,3.0,760.85,0.04,0.08,33.2,2025-10-11,2025-10-28,74,Web Search,High,WH-5,True,Pending
